code,kartez,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,lf_petiole_ind,mass,d15N,d13C,pN,pC,cn,stm_wet,stm_len,stm_d1,stm_d2,rt_wet,rt_len,rt_d1,rt_d2,stm_dry1,stm_dry2,rt_dry1,rt_dry2,length,diam.95%,volume,wet,dry,seed_mass_sum,seed_n
363,BRCA3,PJ,3.06,5,TRUE,0.315,0.0442,FALSE,NA,NA,NA,NA,NA,NA,0.066,30,1.5,1.2,0.0627,14.1,1.8,2.2,0.019,0.019,0.0228,0.0225,NA,NA,NA,NA,NA,NA,NA
364,SCMU6,PJ,0.1549,6,TRUE,0.024,0.0036,FALSE,0.503,-2.0074666666666667,-27.49456666666667,3.3342994702597846,42.42490717507384,12.72378427717184,0.0179,29.5,0.6,0.3,0.0075,12.6,0.5,0.2,0.0053,0.0052,0.002,0.0019,NA,NA,NA,NA,NA,1.482,8
365,GUSA2,PJ,0.2534,10,TRUE,0.0445,0.017,FALSE,NA,NA,NA,NA,NA,NA,0.2754,31.5,2.7,2.8,0.7376,27,4.7,4.5,0.1167,0.1167,0.3491,0.3485,NA,NA,NA,NA,NA,1.673,18
366,GUSA2,PJ,0.2741,10,TRUE,0.0399,0.0146,FALSE,NA,NA,NA,NA,NA,NA,0.2174,35,2.1,2.5,0.3624,27.2,2.1,5.2,0.0961,0.0961,0.1778,0.1771,NA,NA,NA,NA,NA,2.095,20
367,GUSA2,PJ,0.1672,10,TRUE,0.0332,0.0104,FALSE,NA,NA,NA,NA,NA,NA,0.2115,25.2,2.9,1.9,0.4804,39.9,4.8,1.8,0.0757,0.0748,0.2127,0.212,NA,NA,NA,NA,NA,NA,NA
368,GUSA2,PJ,0.2517,15,TRUE,0.0297,0.0098,FALSE,NA,NA,NA,NA,NA,NA,0.0181,10.7,1,0.8,0.044,25.8,1.2,0.7,0.0059,0.0059,0.0164,0.0161,NA,NA,NA,NA,NA,NA,NA
369,GUSA2,PJ,0.2838,15,TRUE,0.0375,0.0125,FALSE,NA,NA,NA,NA,NA,NA,0.1325,41.1,1.7,1.6,0.5994,23.3,5.1,5.8,0.0521,0.0518,0.2672,0.2661,NA,NA,NA,NA,NA,NA,NA
370,SASU7,PJ,0.9236,5,TRUE,0.163,0.0201,FALSE,3.02,0.4455333333333334,-28.820666666666668,4.586715058508002,44.70459258329551,9.74653799354114,0.0177,12.5,0.4,0.8,0.0074,22.1,0.3,0.5,0.0021,0.0021,0.0028,0.0025,NA,NA,NA,NA,NA,1.423,1
371,SASU7,PJ,1.2473,5,TRUE,0.2027,0.0208,FALSE,3.232,-0.6694666666666667,-29.49366666666667,3.8229437598544256,44.70974398321394,11.69510900283724,0.0269,16.8,0.7,0.8,0.009,24.1,0.6,0.2,0.0031,0.0029,0.0032,0.003,NA,NA,NA,NA,NA,NA,NA
372,PEFE,B,3.4055999999999997,5,TRUE,0.7956,0.1702,FALSE,NA,NA,NA,NA,NA,NA,0.08,15.7,2.6,1.9,0.2432,62.7,2.3,1.3,0.0205,0.0205,0.0862,0.0859,NA,NA,NA,NA,NA,NA,NA
373,CHRE4,PJ,0.1246,7,TRUE,0.0118,0.0027,FALSE,NA,NA,NA,NA,NA,NA,0.006,34.4,0.2,0.1,NA,NA,NA,NA,0.0019,0.0019,NA,NA,NA,NA,NA,NA,NA,1.838,12
374,CHRE4,PJ,0.229,12,TRUE,0.0211,0.0046,FALSE,1.068,-2.03675,-16.0595,1.5598736593617322,48.291560561793744,30.95863583051569,0.0092,29.6,0.3,0.5,0.0051,16.5,0.2,0.4,0.0034,0.003,0.0018,0.0018,NA,NA,NA,NA,NA,NA,NA
375,CHRE4,PJ,0.133,8,TRUE,0.0142,0.0037,FALSE,NA,NA,NA,NA,NA,NA,0.0064,23,0.2,0.4,0.003,10.5,0.1,0.3,0.0017,0.0017,7e-4,7e-4,NA,NA,NA,NA,NA,0.578,3
375,CHRE4,PJ,0.133,8,TRUE,0.0142,0.0037,FALSE,NA,NA,NA,NA,NA,NA,0.0064,23,0.2,0.4,0.003,10.5,0.1,0.3,0.0017,0.0017,7e-4,7e-4,NA,NA,NA,NA,NA,2.562,18
376,CHRE4,PJ,0.159,10,TRUE,0.0163,0.004,FALSE,1.286,-0.93685,-15.4025,1.9509801056231515,44.374933029182124,22.744943888091868,0.007,29.2,0.3,0.3,0.0025,13.1,0.1,0.3,0.0023,0.0021,7e-4,7e-4,NA,NA,NA,NA,NA,1.696,13
